SORT,Lead (NEIGHBOURHOOD route),service_site_ID,Neighborhood,Adddress,Service_level,"X""s",PINSITE_ID,PKSITE_NO,service_location_name,DESCRIPTION,SITE#,lat,long,service_area,580D,72GM,580D Rate,72GM Rate,Service-Duration for 580D,Service-Duration for 72GM,Old District,Weekend/School Route,2017 WIP Area,SLIM_AREA,NOTES,,,,,,,,
1462,SW Stacey,,Blackburne,Btw. #911 & #915 BLACKET WYND,B1,11,2566,2566,WALKWAY,WALKWAY P.I.P. (homeowner mows),B8,53.431100160,-113.507170600,0.0320,0.000,0.032,2,0.3,0:00:00,0:06:24,SW,,,,,,,,,,,,
1463,SW#4 Kelvin,,Ramsey Heights,45 Ave. to 40 Ave. East of 147 St.,B1,11,2567,2567,TERWILLEGAR DRIVE,BERM,RH12,53.480665720,-113.572923700,2.5800,2.150,0.430,2,0.3,1:04:30,1:26:00,SW,Weekend - Roadway,,,,,,,,,,,
1464,SW#2 Norm,,Blue Quill,26A AVE-SADDLEBACK ROAD-116 ST,B1,11,2568,2568,WALKWAY,WALKWAY,BQ1,53.458336550,-113.532568400,1.0180,0.000,1.018,2,0.3,0:00:00,3:23:36,SW,,,,,,,,,,,,
1465,SW#2 Norm,,Skyrattler,22A AVE-111A ST,B1,11,2569,2569,WALKWAY,WALKWAY,SK5,53.453443290,-113.517583800,0.0340,0.000,0.034,2,0.3,0:00:00,0:06:48,SW,Weekend - Roadway,,,,,,,,,,,
1466,SW#2 Norm,,Keheewin,19 AVE: BEARSPAW DRIVE EAST - 111 ST,B1,11,2570,2570,SIGN BED,ROAD BUFFER,KE1,53.447849830,-113.508512000,0.2570,0.000,0.257,2,0.3,0:00:00,0:51:24,SW,,,,,,,,,,,,
1467,SW Stacey,,Blackburne,#189 BLACKBURNE Drive West (behind 171 to 189),B1,11,2571,2571,WALKWAY,WALKWAY,B18,53.428902910,-113.497677400,0.0130,0.000,0.013,2,0.3,0:00:00,0:02:36,SW,,,,,,,,,,,,
1468,SW Stacey,,Blackburne,ADJACENT/BEHIND #729 BLACKWOOD CR.,B1,11,2572,2572,DRY POND/PARK/PLGD  P.I.P.,DRY POND/PARK/PLGD,B10,53.429050140,-113.500566200,1.2550,1.000,0.255,2,0.3,0:30:00,0:51:00,SW,,,,,,,,,,,,
1469,SW#4 Kelvin,,Ramsey Heights,40 AVE-147A ST,B1,11,2579,2579,WALKWAY,WALKWAY,RH8,53.477413610,-113.577458000,0.0190,0.000,0.019,2,0.3,0:00:00,0:03:48,SW,,,,,,,,,,,,
1470,SW#4 Kelvin,,Rhatigan Ridge,Btw. #435 & #433 ROONEY CRESENT,B1,11,2580,2580,WALKWAY,WALKWAY,RR30,53.476292270,-113.597299300,0.0050,0.000,0.005,2,0.3,0:00:00,0:01:00,SW,,,,,,,,,,,,
1471,SW#4 Kelvin,,Bulyea Heights,#624 BUTCHART WYND TO #444 BUTCHART DR,B1,11,2582,2582,RAVINE WALKWAY,RAVINE WALKWAY,B16,53.473710890,-113.564404300,0.0080,0.000,0.008,2,0.3,0:00:00,0:01:36,SW,,,,,,,,,,,,
1472,SW#4 Kelvin,,Hodgson,BTWN 963 & 967 HOLLINGSWORTH BEND,B1,11,2583,2583,WALKWAY,WALKWAY,HO10,53.461135180,-113.555405700,0.0110,0.000,0.011,2,0.3,0:00:00,0:02:12,SW,,,,,,,,,,,,
1473,SW#4 Kelvin,,Hodgson,BTWN 997 & 998 HOLLINGSWORTH BEND,B1,11,2584,2584,WALKWAY,WALKWAY,HO9,53.460883660,-113.558834300,0.0120,0.000,0.012,2,0.3,0:00:00,0:02:24,SW,,,,,,,,,,,,
1474,SW#4 Kelvin,,Hodgson,#1857 Holman Cr. To Rabbit Hill Rd.,B1,11,2585,2585,WALKWAY,Walkway,HO20,53.456098510,-113.564958700,0.0200,0.000,0.020,2,0.3,0:00:00,0:04:00,SW,,,,,,,,,,,,
1475,SW Stacey,,Terwilleger TOWNE,Tory Gate - Tory Rd. to Rabbit Hill Rd.,B1,11,2586,2586,ENTRANCE BLVDS & ISLAND,Backage,TT6,53.450832580,-113.566650600,0.0470,0.000,0.047,2,0.3,0:00:00,0:09:24,SW,,,,,,,,,,,,
1476,SW#1 Andy,,RiverValley Walterdale,High Level Bridge to Pumping Station,B1,11,2604,2604,West Kinsmen Park,West Kinsmen Park,6,53.528407120,-113.516175900,0.6960,0.592,0.104,2,0.3,0:17:46,0:20:48,SW,,,,,,,,,,,,
1477,SW#4 Kelvin,,Brander Gardens,WHITEMUD ROAD-15315-15625,B1,11,2607,2607,DITCHES,DITCHES,BG12,53.496981750,-113.585968700,0.2000,0.000,0.200,2,0.3,0:00:00,0:40:00,SW,,,,,,,,,,,,
1478,SW#4 Kelvin,,Brookside,51 AVE-142 ST,A2,12,2608,2608,NEIGHBORHOOD PARK,NEIGHBORHOOD PARK,BR7,53.487761850,-113.563681800,1.1440,0.874,0.270,2,0.3,0:26:13,0:54:00,SW,,,,,,,,,,,,
1479,SW Stacey,,Richford,5 Ave. - 109A to 107 St. SW,B1,11,2622,2622,ROAD BUFFER,Road Buffers,R1,53.427543660,-113.507510800,0.1330,0.000,0.133,2,0.3,0:00:00,0:26:36,SW,,,,,,,,,,,,
1480,SW#2 Norm,,Keheewin,BEARSPAW DRIVE WEST/16-19 AVE,B1,11,2631,2631,EAST ROAD BUFFER,EAST ROAD BUFFER,KE2,53.447514440,-113.512421800,0.0360,0.000,0.036,2,0.3,0:00:00,0:07:12,SW,,,,,,,,,,,,
1481,SW Stacey,,Windermere,Westcliff Way SW & Watson Point SW,B1,11,2634,2634,Greenway,Walkways,WS11 - 2017 Growth,53.435788470,-113.626707700,0.4137,0.000,0.414,2,0.3,0:00:00,1:22:44,SW,,,,,,,,,,,,
1482,SW Stacey,,Windermere,Windermere Blvd & Watson Landing,B1,11,2635,2635,STORM WATER MANAGEMENT FACILITY,MR,WS8 - 2017 Growth,53.438094520,-113.626929000,1.8461,1.477,0.369,2,0.3,0:44:18,1:13:51,SW,,,,,,,,,,,,
1483,SW Stacey,,Haddow,Haddow Dr Terwilligar to Hanna,B1,11,2650,2650,ROADWAY AND BACKAGES,Entrance Meridian/Triangles & Backage,H22,53.453084790,-113.590471500,0.1430,0.000,0.143,2,0.3,0:00:00,0:28:36,SW,Weekend - Roadway,,,,,,,,,,,
1484,SW#4 Kelvin,,Falconer Heights,156 St. to Riverbend Road,B1,11,2663,2663,TransAlta Right of Way,TRANS ALTA RIGHT OF WAY,F16,53.461688810,-113.592106300,1.2320,1.000,0.232,2,0.3,0:30:00,0:46:24,SW,,,,,,,,,,,,
1485,SW#2 Norm,,Twin Brooks,#1330 - 119B St,B1,11,2686,2686,WALKWAY,Walkway,TB19,53.445926590,-113.543649900,0.0260,0.000,0.026,2,0.3,0:00:00,0:05:12,SW,,,,,,,,,,,,
1486,SW#1 Andy,,Windsor Park,87 AVE-119 ST,A2,12,2698,2698,WINDSOR PLAYGROUND,WINDSOR PLAYGROUND,W7,53.523246270,-113.535255900,0.3910,0.000,0.391,2,0.3,0:00:00,1:18:12,SW,,,,,,,,,,,,
1487,SW#2 Norm,,Twin Brooks,Running Creek Road - NISKU PIPELINE,B1,11,2714,2714,RAVINE WALKWAY/VIEWPOINT P.I.P.,RAVINE WALKWAY/ (VIEWPOINT P.I.P.),RC4,53.442982860,-113.512725400,0.1270,0.000,0.127,2,0.3,0:00:00,0:25:24,SW,,,,,,,,,,,,
1488,SW#2 Norm,,Twin Brooks,11016-10 AVE,B1,11,2715,2715,WALKWAY P.I.P.,WALKWAY (2) P.I.P. No Mow,RC5,53.442366020,-113.512530900,0.0080,0.000,0.008,2,0.3,0:00:00,0:01:36,SW,,,,,,,,,,,,
1489,SW#1 Andy,,Garneau,Saskatchewan Drive - 107 ST to 109 ST,B1,11,2717,2717,SASKATCHEWAN DRIVE,SASKATCHEWAN DRIVE,G5,53.523789600,-113.508415000,0.1530,0.000,0.153,2,0.3,0:00:00,0:30:36,SW,,,,,,,,,,,,
1490,SW#2 Norm,,Steinhauer,30 AVE-105A ST,B1,11,2718,2718,WALKWAY,WALKWAY,ST15,53.462036980,-113.500513800,0.0150,0.000,0.015,2,0.3,0:00:00,0:03:00,SW,,,,,,,,,,,,
1491,SW#4 Kelvin,,River Valley Whitemud,12505/06 - Kieler Road,B1,11,2724,2724,Whitemud Equestrian Park (Chargeout),Whitemud Eqestrian Park/Center Rings,214/215,53.505718450,-113.550166100,5.2640,4.030,2.110,2,0.3,2:00:54,7:02:00,SW,Don't include,,5.264039406,CUT BY REQUEST ON EVENT DATES area = total of A1 and B1 Polygons,,,,,,,,
1492,SW#4 Kelvin,,Bulyea Heights,BESIDE 532 BUTTERWORTH WAY,B1,11,2726,2726,WALKWAY (HOMEOWNERS ASSOCIATION TITLE),UTILITY RIGHT OF WAY LOT,B27,53.480666740,-113.565702800,0.0260,0.000,0.026,2,0.3,0:00:00,0:05:12,SW,,,,,,,,,,,,
1493,SW#2 Norm,,Keheewin,19 AVE: BEARSPAW DRIVE EAST - 111 ST,B1,11,2733,2733,ROAD BUFFER,ROAD BUFFER,KE1,53.447964860,-113.508894000,0.2570,0.000,0.257,2,0.3,0:00:00,0:51:24,SW,,,,,,,,,,,,
1494,SW#4 Kelvin,,Falconer Heights,1622 FORBES WAY TO 102 RABBIT HILL ROAD,B1,11,2742,2742,WALKWAY,WALKWAY,F2,53.470144730,-113.595030000,0.0180,0.000,0.018,2,0.3,0:00:00,0:03:36,SW,,,,,,,,,,,,
1495,SW#4 Kelvin,,Falconer Heights/Henderson,Riverbend Rd. - RABBIT HILL RD to Trans Alta Right of Way.,B1,11,2745,2745,ROAD ISLANDs and BLVDs,RIVERBEND ROAD West Side/East Site,Combined F15 a& HE3,53.467023770,-113.594251400,0.9770,0.000,0.977,2,0.3,0:00:00,3:15:24,SW,Weekend - Roadway,,,,,,,,,,,
1496,SW#4 Kelvin,,Greenfield,34 AVE 111 - 119 ST,B1,11,2779,2779,BLVDs,NORTH ROAD BUFFER,GR14,53.467000390,-113.528254600,2.5920,2.0736,0.5184,2,0.3,1:02:12,1:43:41,SW,Weekend - Roadway,,,,,,,,,,,
1497,SW Stacey,,Rutherford,1331& 1333 RUTHERFORD ROAD,B1,11,2783,2783,Rutherford School/Park,PARK (Alexander Rutherford Park)& Johnny Bright School/Park/Playground,R19,53.420045310,-113.534354200,3.1520,2.800,0.352,2,0.3,1:24:00,1:10:24,SW,,,,,,,,,,,,
1498,SW#4 Kelvin,,Sweet Grass,34 AVE 111 - 119 ST,B1,11,2803,2803,BLVDS,SOUTH ROAD BUFFER & ISLANDS,SG1,53.466524120,-113.526490100,1.8645,0.0000,1.8645,2,0.3,0:00:00,6:12:54,SW,Weekend - Roadway,,,,,,,,,,,
1499,SW Stacey,,Haddow,Btw. #329 &#327 Hunters Run,B1,11,2806,2806,WALKWAY,Walkway,H3,53.460026010,-113.594126600,0.0130,0.000,0.013,2,0.3,0:00:00,0:02:36,SW,,,,,,,,,,,,
1500,SW#4 Kelvin,,Falconer Heights,Btw. 539 & 554 Falconer Place,B1,11,2807,2807,WALKWAY,Walkway,F13,53.462206870,-113.591900400,0.0140,0.000,0.014,2,0.3,0:00:00,0:02:48,SW,,,,,,,,,,,,
1501,SW#1 Andy,,Windsor Park,88 AVE-118 ST,A2,12,2812,2812,WINDSOR PARK SCHOOL/PLGD,WINDSOR PARK SCHOOL/PLGD,W6,53.524234380,-113.535988400,1.2630,0.700,0.563,2,0.3,0:21:00,1:52:36,SW,,,,,,,,,,,,
1502,SW#1 Andy,,Garneau,86 AVE-109 ST,A2,12,2814,2814,GARNEAU SCHOOL/PLAYGROUND,GARNEAU SCHOOL/PLAYGROUND,G1,53.522405480,-113.513613000,0.7540,0.000,0.754,2,0.3,0:00:00,2:30:48,SW,,,,,,,,,,,,
1503,SW Stacey,,Blackmud Creek,#1718 Bownesss Wynd to #1849 Bowman Point,B1,11,2820,2820,WALKWAY,WALKWAY (2 Sections),BL16,53.417082650,-113.508187600,0.0380,0.000,0.038,2,0.3,0:00:00,0:07:36,SW,,,,,,,,,,,,
1504,SW#4 Kelvin,,Sweet Grass,119 ST WESTBROOK DR - 34 AVE,B1,11,2823,2823,WESTBROOK SIGN BED,ROAD BUFFER,SG2,53.462272810,-113.539015400,0.2850,0.000,0.285,2,0.3,0:00:00,0:57:00,SW,,,,,,,,,,,,
1505,SW#2 Norm,,Whitemud Creek Ravine South,44 AVE: 122 - 132 ST,B1,11,2824,2824,RAINBOW ROAD,RAINBOW ROAD,RV4,53.481447910,-113.549713500,1.7820,0.000,1.782,2,0.3,0:00:00,5:56:24,SW,,,,,,,,,,,,
1506,SW#4 Kelvin,,Falconer Heights,Btw. #307-#309 FERRIS WAY,B1,11,2825,2825,WALKWAY,WALKWAY,F9,53.464899940,-113.586674600,0.0170,0.000,0.017,2,0.3,0:00:00,0:03:24,SW,,,,,,,,,,,,
1507,SW Stacey,,Terwilleger TOWNE,1697 Toane WYND,B1,11,2826,2826,Storm Water Lake,Wet Pond/(2)Walk/Park,TT22,53.446664230,-113.588011200,1.5760,1.000,0.576,2,0.3,0:30:00,1:55:12,SW,,,,,,,,,,,,
1508,SW#4 Kelvin,,Hodgson,Hayworth Crescent to Hudson Boulevard/Rabbit Hill Road - Trans Alta R.O.W. to Hodgson Blv.,B1,11,2827,2827,SWMF & WALKWAYS (3),Pond/ Pk/Walks (3)/Road Buffer East Side,HO1 & HO3,53.460665500,-113.563983600,1.1120,0.545,0.567,2,0.3,0:16:21,1:53:24,SW,,,,,,,,,,,,
1509,SW Stacey,,Haddow,Btw. 2330 & 2334 Hagen Link,B1,11,2828,2828,WALKWAY,Walkway,H21,53.453230250,-113.593808300,0.0160,0.000,0.016,2,0.3,0:00:00,0:03:12,SW,,,,,,,,,,,,
1510,SW Stacey,,MacEwan,Ellerslie Rd (9 Ave. SW) N. & Center - SCHOOL to 111 Street,B1,11,2835,2835,ROAD BUFFER,Road Buffers/Medians,ME26,53.425023980,-113.519818800,0.6370,0.400,0.237,2,0.3,0:12:00,0:47:24,SW,,,,,,,,,,,,
1511,SW Stacey,,McGrath,243 Magrath Boulevard,B1,11,2837,2837,Municipal Reserve,Park,MG14,53.448039430,-113.559738900,0.0560,0.000,0.056,2,0.3,0:00:00,0:11:12,SW,,,,,,,,,,,,
1512,SW#2 Norm,,Greenfield,37B AVE-114 ST,A2,12,2842,2842,GREENFIELD/ST STANISLAUS SCHOOLS/PARK/PLGD,GREENFIELD/St STANISLAUS Sch/Pk/Plg.,GR1,53.473648250,-113.524919300,8.2230,6.429,1.794,2,0.3,3:12:52,5:58:48,SW,,,,,,,,,,,,
1513,SW#4 Kelvin,,Henderson,Btw. #952 & #948 HEACOCK ROAD,B1,11,2847,2847,WALKWAY,WALKWAY,HE9,53.471336990,-113.595706400,0.0200,0.000,0.020,2,0.3,0:00:00,0:04:00,SW,,,,,,,,,,,,
1514,SW#1 Andy,,Queen Alexanda,78 AVE-107 ST,A2,12,2854,2854,QUEEN ALEXANDRA SCHOOL,QUEEN ALEXANDRA SCHOOL,QA10,53.513596960,-113.504907300,1.5800,1.059,0.521,2,0.3,0:31:46,1:44:12,SW,,,,,,,,,,,,
1515,SW#1 Andy,,Allendale,62 AVE-106A ST,A2,12,2859,2859,ST AGNES SCHOOL,ST AGNES SCHOOL,A1,53.499632230,-113.506031200,0.8930,0.730,0.163,2,0.3,0:21:54,0:32:36,SW,,,,,,,,,,,,
1516,SW#1 Andy,,Duggan,36A AVE-106 ST,A2,12,2871,2871,DUGGAN/ST AUGUSTINE SCHOOLS/PARK/PLGD,DUGGAN/ST AUGUSTINE Sch/Pk/Plg.,RD18,53.472807590,-113.506920000,8.0050,6.4040,1.6010,2,0.3,3:12:07,5:20:12,SW,,,,,,,,,,,,
1517,SW#4 Kelvin,,Hodgson,504 HODGSON ROAD & HODGSON BOULEVARD,B1,11,2875,2875,PARK AND ENVIRONMENTAL RESERVE,PARK AND ENVIRONMENTAL RESERVE,HO8,53.460027670,-113.557942000,0.7950,0.517,0.278,2,0.3,0:15:31,0:55:36,SW,,,,,,,,,,,,
1518,SW Stacey,,Haddow,#927 Hampton Court to #1032 Holgate Place,B1,11,2916,2916,UTILITY LOT,WALKWAY,H6,53.458121190,-113.600081400,0.0380,0.000,0.038,2,0.3,0:00:00,0:07:36,SW,,,,,,,,,,,,
1519,SW#2 Norm,,Steinhauer,32A AVE-106 ST,A2,12,2920,2920,STEINHAUER SCHOOL/PARK/PLGD,STEINHAUER SCHOOL/PARK/PLGD,ST2,53.463885650,-113.505630400,5.6000,4.700,0.900,2,0.3,2:21:00,3:00:00,SW,,,,,,,,,,,,
1520,SW#1 Andy,,Lendrum Place,111 ST 51 AVE - 55 AVE,B1,11,2922,2922,ROAD BUFFER/MEDIAN,ROAD BUFFER,L17,53.491433870,-113.517222500,0.0940,0.000,0.094,2,0.3,0:00:00,0:18:48,SW,,,,,,,,,,,,
1521,SW#1 Andy,,Parkallen,109 St - 62 Ave. to 64 Ave.,B1,11,2928,2928,ROAD BUFFER,ROAD BUFFER,P14,53.500482020,-113.512370100,0.2420,0.000,0.242,2,0.3,0:00:00,0:48:24,SW,,,,,,,,,,,,
1522,SW#4 Kelvin,,Bulyea Heights,BESIDE 476 BUTCHART DRIVE,B1,11,2937,2937,WALKWAY (HOMEOWNERS ASSOCATION TITLE),WALKWAY,B18,53.476151700,-113.565625500,0.0320,0.000,0.032,2,0.3,0:00:00,0:06:24,SW,,,,,,,,,,,,
1523,SW#4 Kelvin,,Bulyea Heights,#312 BURTON ROAD TO #320 BURTON ROAD,B1,11,2938,2938,WALKWAY (HOMEOWNERS ASSOCATION TITLE),WALKWAY,B24,53.478780550,-113.565513400,0.1510,0.000,0.151,2,0.3,0:00:00,0:30:12,SW,,,,,,,,,,,,
1524,SW#4 Kelvin,,Hodgson,#1239 Hollands Close to #815 Hollands Landing,B1,11,2953,2953,WALKWAY,Walkway,HO15,53.454681000,-113.556107200,0.2880,0.000,0.288,2,0.3,0:00:00,0:57:36,SW,,,,,,,,,,,,
1525,SW Stacey,,Windermere,Windermere Blvd & Watson Landing,B1,11,2957,2957,BLVDs & ROAD ISLAND,"Islands, Walkways",WS2 - 2017 Growth,53.435979720,-113.624159700,0.4607,0.000,0.461,2,0.3,0:00:00,1:32:08,SW,,,,,,,,,,,,
1526,SW#4 Kelvin,,BLUE QUILL ESTATES,23 AVE-119-126 ST,B1,11,2971,2971,ROAD BUFFER,23 AVE-119-126 ST,68029,53.454623278,-113.539117741,0.0747,0.000,0.075,2,0.3,0:00:00,0:14:56,SW,Weekend - Roadway,0.3164099519,0.07467954778,"Naturalized - 72"" One Pass",,,,,,,,
1527,SW#2 Norm,,Sweet Grass,29B-30 AVE-111A ST,B1,11,2972,2972,WALKWAY,WALKWAY,SG17,53.463368090,-113.517687400,0.0780,0.000,0.078,2,0.3,0:00:00,0:15:36,SW,,,,,,,,,,,,
1528,SW#4 Kelvin,,Carter Crest,Terwilleger Drive - Rabbit Hill Road to Foot Bridge,B2,8,2976,2976,TERWILLEGAR DRIVE,TERWILLEGER DRIVE,1010,53.463202240,-113.585895500,0.8740,0.654,0.220,2,0.3,0:19:37,0:44:00,SW,Weekend - Roadway,,,,,,,,,,,
1529,SW#1 Andy,,Malmo Plains,48 AVE-115 ST,A2,12,2978,2978,MALMO PLAINS SCHOOL/PLGD,MALMO PLAINS SCHOOL/PLGD,M6,53.484405340,-113.530561800,3.0260,2.100,0.926,2,0.3,1:03:00,3:05:12,SW,,,,,,,,,,,,
1530,SW#1 Andy,,Parkallen,61 AVE-109-113 ST,A2,12,2988,2988,ROAD BUFFER/MERIDEAN/ISLAND,ROAD BUFFER/MERIDEAN/ISLAND,P15,53.498585770,-113.515826600,2.2040,1.720,0.484,2,0.3,0:51:36,1:36:48,SW,,,,,,,,,,,,
1531,SW#2 Norm,,Twin Brooks,#1104 to #1220 - 119 St,B1,11,2990,2990,ROADWAY,Road Buffer & Entrance Features,TB20,53.444158210,-113.540177100,0.1720,0.000,0.172,2,0.3,0:00:00,0:34:24,SW,,,,,,,,,,,,
1532,SW#4 Kelvin,,Ellerslie Industrial,Gateway Blvd. - Boundary Rd. to Ellerslie Rd.,A2,12,2991,2991,CALGARY TRAIL/SIGN BEDS,Gateway Boulevard/SIGN BEDS,1201,53.408680580,-113.502772000,4.3730,4.3730,0.0000,2,0.3,2:11:11,0:00:00,SW,,,,,,,,,,,,
1533,SW#1 Andy,,Lendrum Place,51 AVE-114 ST,A2,12,2992,2992,ST MARTINS SCHOOL,ST MARTINS SCHOOL,L10,53.489112630,-113.522364300,2.0220,1.022,1.000,2,0.3,0:30:40,3:20:00,SW,,,,,,,,,,,,
1534,SW#4 Kelvin,,Brookside,55 AVE-143 ST,B1,11,2997,2997,BROOKSIDE SCHOOL/PARK/PLGD,BROOKSIDE SCHOOL/PARK/PLGD,BR18,53.491602190,-113.569316800,4.2050,3.154,1.051,2,0.3,1:34:37,3:30:12,SW,,,,,,,,,,,,
1535,SW#4 Kelvin,,Brander Gardens,5803-148 ST,B1,11,2998,2998,TEMPO SCHOOL CHARGEOUT,TEMPO SCHOOL CHARGEOUT,BG3,53.494417980,-113.573864600,0.6980,0.596,0.102,2,0.3,0:17:53,0:20:24,SW,,,,,,,,,,,,
1536,SW#2 Norm,,Whitemud Creek Ravine North,45 AVE-132 ST,B1,11,3003,3003,Snow Valley Ski Club,Snow Valley Ski Club,RV2,53.484136270,-113.558145000,1.1670,1.167,0.000,2,0.3,0:35:01,0:00:00,SW,,,,,,,,,,,,
1537,SW#2 Norm,,Steinhauer,30 AVE-105 ST,B1,11,3007,3007,WALKWAY,WALKWAY,ST16,53.462050050,-113.498142400,0.0160,0.000,0.016,2,0.3,0:00:00,0:03:12,SW,,,,,,,,,,,,
1538,SW#4 Kelvin,,Hodgson,Btw. #823 & #827 Hollands Landing - to 23 Ave.,B1,11,3008,3008,WALKWAY,Walkway,HO14,53.454437130,-113.554744600,0.0150,0.000,0.015,2,0.3,0:00:00,0:03:00,SW,,,,,,,,,,,,
1539,SW Stacey,,Windermere South,Warry Link Washburn Dr to Warry Way,B1,11,3009,3009,Backage,Backage,WS10,53.437024280,-113.623165600,0.0231,0.000,0.023,2,0.3,0:00:00,0:04:38,SW,,,,,,,,,,,,
1540,SW#4 Kelvin,,Carter Crest,E/S Terwillegar Drive: AltaLink - Rabbit Hill Road,B1,11,3049,3049,TERWILLEGAR DRIVE,E/S Terwillegar Drive: AltaLink - Rabbit Hill Road,811,53.464765387,-113.584054949,0.8058,0.000,0.806,2,0.3,0:00:00,2:41:09,SW,Weekend - Roadway,,0.8057897166,Was blank,,,,,,,,
1541,SW#1 Andy,,Queen Alexanda,76 AVE-106 ST,A2,12,3070,3070,MOUNT CARMEL SCHOOL,MOUNT CARMEL SCHOOL,QA9,53.512794300,-113.502296900,1.1110,0.778,0.333,2,0.3,0:23:20,1:06:36,SW,,,,,,,,,,,,
1542,SW Stacey,,Terwilleger South,7085 South Terwilleger Drive,B1,11,3077,3077,SWMF,POND,ST14,53.440335410,-113.571922300,1.9880,1.480,0.508,2,0.3,0:44:24,1:41:36,SW,,,,,,,,,,,,
1543,SW#1 Andy,,McKernan,114 ST University Ave - Belgravia Rd & 114 Street - 76 Ave. to 71 Ave.,B1,11,3081,3081,SOUTH LRT EXTENSION,Walkway and blvd by LRT sound wall & South LRT Exstension,B18 & M5,53.509633100,-113.525984600,1.7660,0.000,1.766,2,0.3,0:00:00,5:53:12,SW,,,,,,,,,,,,
1544,SW Stacey,,Rutherford,S of 15 Ave between 124 & 125 St,B1,11,3129,3129,WALKWAY System,WALKWAY including extensions,R23,53.417214020,-113.538432700,0.2720,0.000,0.272,2,0.3,0:00:00,0:54:24,SW,,,,,,,,,,,,
1545,SW#4 Kelvin,,Falconer Heights,BTWN #242 Ferguson PLACE-#127 FARNELL CL,B1,11,3130,3130,WALKWAY,WALKWAY,F7,53.467378940,-113.585318400,0.1090,0.000,0.109,2,0.3,0:00:00,0:21:48,SW,,,,,,,,,,,,
1546,SW Stacey,,McGrath,Magrath Blv. East from Rabbit Hill Rd,B1,11,3136,3136,BLVDs,Blv. & Backage,MG13,53.449701080,-113.557822900,0.0370,0.000,0.037,2,0.3,0:00:00,0:07:24,SW,,,,,,,,,,,,
1547,SW Stacey,,McGrath,Magrath Rd.23 Ave - Magrath Blvd,B1,11,3171,3171,BLVDs and ROAD ISLANDs,Backage & Entrance/Islands ,MG3 & MG4,53.451786360,-113.559856300,0.1800,0.000,0.180,2,0.3,0:00:00,0:36:00,SW,,,,,,,,,,,,
1548,SW#4 Kelvin,,Brookside,144 ST-46-52 AVE,A2,12,3191,3191,BERM (BACK ALLEY),BERM (BACK ALLEY),BR2,53.485636400,-113.569262700,1.8720,1.485,0.387,2,0.3,0:44:33,1:17:24,SW,,,,,,,,,,,,
1549,SW#2 Norm,,Bearspaw,104 ST-10-10A AVE,B1,11,3195,3195,UTILITY LOT,UTILITY LOT(Berm) top Naturalize,KE14,53.441246860,-113.494006100,0.0490,0.000,0.049,2,0.3,0:00:00,0:09:48,SW,,,,,,,,,,,,
1550,SW Stacey,,MacTaggert,3719 Mclay Green to 4115 MacNeil Court & 4377 McClung Cr. To 7282 May Rd.,B1,11,3242,3242,BLVD,Backage,MT18,53.443604370,-113.556733600,5.0000,0.000,0.036,2,0.3,0:00:00,0:07:18,SW,,,,,,,,,,,,
1551,SW#4 Kelvin,,BLACKMUD CREEK RAVINE,W/S & C 111 ST: 23 AVE - BRIDGE (RAVINE),B1,11,3249,3249,ROAD BUFFER/MEDIAN/ISLANDS,W/S & C 111 ST: 23 AVE - BRIDGE (RAVINE),66554,53.447934039,-113.516023976,1.3636,1.091,0.273,2,0.3,0:32:44,0:54:33,SW,Weekend - Roadway,0.06957104772,1.363626489,80/20 rule,,,,,,,,
1552,SW#2 Norm,,Bearspaw,behind #903 109 ST-10 AVE,B1,11,3266,3266,WALKWAY HORIZON VILLAGE,WALKWAY HORIZON VILLAGE,KE7,53.440150040,-113.507112400,0.0930,0.000,0.093,2,0.3,0:00:00,0:18:36,SW,,,,,,,,,,,,
1553,SW#1 Andy,,Parkallen,68 AVE-111 ST,A2,12,3267,3267,PARKALLEN SCHOOL,PARKALLEN SCHOOL,P5,53.503983020,-113.517862000,2.2870,1.853,0.434,2,0.3,0:55:35,1:26:48,SW,,,,,,,,,,,,
1554,SW#4 Kelvin,,GREENFIELD,111 ST - 40 AVE - 34AVE,B1,11,3339,3339,ROAD BUFFER/MEDIAN/ISLAND,111 ST-34-40 AVE,68839,53.469738257,-113.517056628,1.7171,0.343,1.374,2,0.3,0:10:18,4:34:44,SW,Weekend - Roadway,1.688744887,1.717071207,"80/20 rule fopr 72"" machine!!",,,,,,,,
1555,SW#2 Norm,,Keheewin,19 - 20A AVE & 109 - 111 ST,A2,12,3342,3342,Kaskitayo Park,Kaskitayo Park,KE3,53.450243980,-113.512127300,12.2662,11.0395,1.2266,2,0.3,5:31:11,4:05:19,SW,,,12.2662,Used SLIM Area - 90/10 rule,,,,,,,,
1556,SW#1 Andy,,McKernan,76 AVE-114 ST,A2,12,3343,3343,McKERNAN SCHOOL/PARK/PLGD,McKERNAN SCHOOL/PARK/PLGD,M1,53.513262700,-113.523506300,2.5660,2.000,0.566,2,0.3,1:00:00,1:53:12,SW,,,,,,,,,,,,
1557,SW#1 Andy,,Belgravia,11507 - 74 Ave. & 74 Ave.- 116 Street,A2,12,3344,3344,BELGRAVIA SCHOOL/PLGD/BELGRAVIA PARK,Belgravia School & Belgravia School/Park/Plg,B11 & B12,53.509728140,-113.531442800,2.7580,1.540,1.218,2,0.3,0:46:12,4:03:36,SW,,,,,,,,,,,,
